Ngay,Luot_truy_cap,Khach_da_dat_hang_chua_thanh_toan,San_pham_khach_chua_thanh_toan,Tat_ca_cac_don,Doanh_so_don_da_dat,Ty_le_chuyen_doi_tu_Luot_truy_cap_thanh_don_duoc_dat,Nguoi_mua_co_don_da_xac_nhan,San_pham_don_da_xac_nhan,Don_da_xac_nhan,Doanh_so_don_da_xac_nhan,Doanh_so_tren_moi_nguoi_mua_don_da_xac_nhan,Ty_le_chuyen_doi,Ty_le_chuyen_doi_tu_don_da_dat_thanh_don_da_xac_nhan
01/12/2022,2575,86,263,100,8183913,0.0334,82,241,85,6608098,80586.56,0.0318,0.9535
02/12/2022,2326,83,240,98,9918965,0.0357,76,211,81,7491476,98572.05,0.0327,0.9157
03/12/2022,2308,63,179,74,10005729,0.0273,56,147,58,6352332,113434.5,0.0243,0.8889
04/12/2022,2499,80,186,90,6842332,0.032,72,159,75,4928563,68452.26,0.0288,0.9
05/12/2022,2470,91,222,100,11264547,0.0368,84,188,86,8835187,105180.8,0.034,0.9231
06/12/2022,2739,88,217,97,16943365,0.0321,77,164,79,10823862,140569.64,0.0281,0.875
07/12/2022,2653,116,222,129,13405262,0.0437,99,171,101,11323314,114376.91,0.0373,0.8534
08/12/2022,2593,93,182,97,10893767,0.0359,81,158,81,8960285,110620.8,0.0312,0.871
09/12/2022,2437,100,257,109,11223905,0.041,92,251,100,10310382,112069.37,0.0378,0.92
10/12/2022,2443,81,303,88,13665547,0.0332,74,263,75,12543883,169511.93,0.0303,0.9136
11/12/2022,2863,91,189,97,13570475,0.0318,82,173,83,11827870,144242.32,0.0286,0.9011
12/12/2022,4187,284,628,308,25621637,0.0678,257,552,264,20200065,78599.47,0.0614,0.9049
13/12/2022,3222,116,281,124,13117648,0.036,109,231,112,10293800,94438.53,0.0338,0.9397
14/12/2022,3078,119,339,122,9925008,0.0387,106,338,108,9398964,88669.47,0.0344,0.8908
15/12/2022,3032,161,299,175,13267439,0.0531,130,246,133,9574282,73648.32,0.0429,0.8075
16/12/2022,2991,99,311,106,10537551,0.0331,89,278,89,7734504,86904.54,0.0298,0.899
17/12/2022,2968,73,156,84,8922222,0.0246,70,146,76,7726562,110379.46,0.0236,0.9589
18/12/2022,2867,99,200,110,10961755,0.0345,92,181,97,9716762,105616.98,0.0321,0.9293
19/12/2022,2892,100,183,107,11860778,0.0346,90,163,90,9847326,109414.73,0.0311,0.9
20/12/2022,2766,93,170,104,12792861,0.0336,83,144,86,10991041,132422.18,0.03,0.8925
21/12/2022,2817,108,216,118,10556782,0.0383,85,153,88,7478466,87981.95,0.0302,0.787
22/12/2022,2672,120,283,134,15433036,0.0449,103,228,104,11390828,110590.56,0.0385,0.8583
23/12/2022,2163,78,126,95,8983997,0.0361,75,120,78,7707497,102766.63,0.0347,0.9615
24/12/2022,1934,70,158,73,7233733,0.0362,60,134,60,5201937,86698.95,0.031,0.8571
25/12/2022,2638,130,270,139,15487688,0.0493,119,256,124,13561376,113961.14,0.0451,0.9154
26/12/2022,2639,117,253,125,13865715,0.0443,105,223,106,11189118,106563.03,0.0398,0.8974
27/12/2022,2250,86,235,96,10475217,0.0382,78,202,81,7795618,99943.82,0.0347,0.907
28/12/2022,2233,83,197,94,13786942,0.0372,76,165,78,10564043,139000.57,0.034,0.9157
29/12/2022,2071,71,132,79,7808520,0.0343,64,106,67,6284022,98187.84,0.0309,0.9014
30/12/2022,2041,69,255,78,7436033,0.0338,63,217,63,6098246,96797.56,0.0309,0.913
31/12/2022,2126,74,141,85,7905890,0.0348,70,129,78,7068191,100974.16,0.0329,0.9459
01/1/2023,2324,115,278,125,12708753,0.0495,102,237,105,10676274,104669.35,0.0439,0.887
02/1/2023,2423,78,207,86,9136632,0.0322,72,141,73,7443206,103377.86,0.0297,0.9231
03/1/2023,2244,102,362,110,12341653,0.0455,95,341,97,11079613,116627.51,0.0423,0.9314
04/1/2023,2238,99,339,108,12112866,0.0442,96,322,99,10324627,107548.2,0.0429,0.9697
05/1/2023,2393,165,376,180,16187028,0.069,143,328,146,13717327,95925.36,0.0598,0.8667
06/1/2023,2032,92,200,107,13836353,0.0453,83,168,86,9974055,120169.34,0.0408,0.9022
07/1/2023,2136,93,310,100,13058457,0.0435,82,274,82,11148957,135962.89,0.0384,0.8817
08/1/2023,2277,96,217,109,15421795,0.0422,87,188,89,11497556,132155.82,0.0382,0.9062
09/1/2023,2079,100,212,116,13511676,0.0481,92,180,97,11708736,127268.87,0.0443,0.92
10/1/2023,2279,128,287,137,23871141,0.0562,119,271,124,22169744,186300.37,0.0522,0.9297
11/1/2023,2249,150,345,176,16844758,0.0667,133,247,139,12771707,96027.87,0.0591,0.8867
12/1/2023,2087,116,319,135,16557405,0.0556,104,263,112,13536256,130156.31,0.0498,0.8966
13/1/2023,1218,80,147,84,10509489,0.0657,77,139,79,8487349,110225.31,0.0632,0.9625
14/1/2023,259,7,8,8,701200,0.027,7,7,7,643500,91928.57,0.027,1
15/1/2023,190,7,10,10,321346,0.0368,7,7,7,231648,33092.57,0.0368,1
16/1/2023,226,6,8,6,366600,0.0265,5,6,5,300100,60020,0.0221,0.8333
17/1/2023,124,2,2,2,90000,0.0161,2,2,2,90000,45000,0.0161,1
18/1/2023,90,1,1,1,67500,0.0111,1,1,1,67500,67500,0.0111,1
19/1/2023,88,0,0,0,0,0,0,0,0,0,0,0,0
20/1/2023,76,2,2,2,96800,0.0263,1,1,1,57800,57800,0.0132,0.5
21/1/2023,54,0,0,0,0,0,0,0,0,0,0,0,0
22/1/2023,53,0,0,0,0,0,0,0,0,0,0,0,0
23/1/2023,51,0,0,0,0,0,0,0,0,0,0,0,0
24/1/2023,55,0,0,0,0,0,0,0,0,0,0,0,0
25/1/2023,58,0,0,0,0,0,0,0,0,0,0,0,0
26/1/2023,66,0,0,0,0,0,0,0,0,0,0,0,0
27/1/2023,60,0,0,0,0,0,0,0,0,0,0,0,0
28/1/2023,89,1,1,1,41500,0.0112,1,1,1,41500,41500,0.0112,1
29/1/2023,59,0,0,0,0,0,0,0,0,0,0,0,0
30/1/2023,2359,86,192,93,10805394,0.0365,78,146,80,7544894,96729.41,0.0331,0.907
31/1/2023,2100,95,175,101,11882370,0.0452,85,156,85,9641970,113434.94,0.0405,0.8947
01/2/2023,2144,115,261,124,14976899,0.0536,100,228,102,13445176,134451.76,0.0466,0.8696
02/2/2023,2408,174,543,199,18275698,0.0723,157,482,162,13627885,86801.82,0.0652,0.9023
03/2/2023,2108,88,210,99,11297919,0.0417,76,182,80,9263914,121893.61,0.0361,0.8636
04/2/2023,2058,72,127,78,11353334,0.035,67,108,67,9798398,146244.75,0.0326,0.9306
05/2/2023,2015,65,169,70,8807803,0.0323,58,130,59,7461604,128648.34,0.0288,0.8923
06/2/2023,1853,85,193,94,10363039,0.0459,75,172,77,8560438,114139.17,0.0405,0.8824
07/2/2023,1851,82,374,90,9608514,0.0443,81,361,83,8124332,100300.4,0.0438,0.9878
08/2/2023,1864,93,199,97,10508650,0.0499,81,184,81,8400850,103714.2,0.0435,0.871
09/2/2023,2016,97,238,112,10509751,0.0481,87,213,90,9023603,103719.57,0.0432,0.8969
10/2/2023,2151,115,201,123,13039322,0.0535,95,171,96,10071192,106012.55,0.0442,0.8261
11/2/2023,1958,91,220,104,11627787,0.0465,93,199,98,9614758,103384.49,0.0475,1.022
12/2/2023,1945,117,181,130,14863707,0.0602,103,160,110,11379139,110477.08,0.053,0.8803
13/2/2023,2352,119,217,126,12106071,0.0506,108,187,109,8925737,82645.71,0.0459,0.9076
14/2/2023,1921,86,298,94,12175272,0.0448,84,289,87,10554242,125645.74,0.0437,0.9767
15/2/2023,2184,138,370,146,10867257,0.0632,124,339,126,9560987,77104.73,0.0568,0.8986
16/2/2023,2111,105,310,114,13796233,0.0497,96,287,98,10495204,109325.04,0.0455,0.9143
17/2/2023,2201,102,149,110,10170868,0.0463,94,137,95,8349378,88823.17,0.0427,0.9216
18/2/2023,2021,90,165,100,6820386,0.0445,84,149,86,5612237,66812.35,0.0416,0.9333
19/2/2023,2242,100,194,109,8627611,0.0446,89,160,89,7544710,84772.02,0.0397,0.89
20/2/2023,2242,96,220,111,10721043,0.0428,91,203,96,8912444,97938.95,0.0406,0.9479
21/2/2023,2112,113,256,126,11394595,0.0535,106,212,106,9978598,94137.72,0.0502,0.9381
22/2/2023,2045,115,320,123,9047308,0.0562,105,301,106,7753208,73840.08,0.0513,0.913
23/2/2023,2248,110,241,120,10524458,0.0489,104,213,106,9126953,87759.16,0.0463,0.9455
24/2/2023,2629,100,178,105,10373252,0.038,89,154,90,8665940,97370.11,0.0339,0.89
25/2/2023,2477,117,261,135,11700850,0.0472,108,209,111,9170452,84911.59,0.0436,0.9231
26/2/2023,2733,102,253,118,13646842,0.0373,98,235,99,11348854,115804.63,0.0359,0.9608
27/2/2023,2814,99,203,111,12412992,0.0352,88,165,91,9513493,108107.88,0.0313,0.8889
28/2/2023,3025,115,326,124,14736030,0.038,105,194,108,11818630,112558.38,0.0347,0.913
